app_name,metascore,year
Hatoful Boyfriend: Holiday Star,54,2015
Punch Club,73,2016
The Great Escape,54,2016
Tharsis,61,2016
"That Dragon, Cancer",78,2016
Oxenfree,80,2016
Dragon's Dogma: Dark Arisen,81,2016
Drawn™: Dark Flight,75,2016
Homeworld: Deserts of Kharak,79,2016
The Witness,87,2016
Spellweaver,63,2016
Downfall,75,2016
Men of Valor,71,2004
The Preposterous Awesomeness of Everything,54,2016
Doors,40,2016
Defragmented,68,2016
ZHEROS,58,2016
Layers of Fear,72,2016
Street Fighter V,74,2016
Californium,64,2016
Prospekt,43,2016
No Pineapple Left Behind,59,2016
Dungelot: Shattered Lands,78,2016
Danganronpa: Trigger Happy Havoc,82,2016
The Flame in the Flood,73,2016
Hitman GO: Definitive Edition,72,2016
Shadwen,53,2016
Disgaea PC / 魔界戦記ディスガイア PC,74,2016
SUPERHOT,82,2016
The Count Lucanor,78,2016
The Guest,68,2016
Momodora: Reverie Under The Moonlight,82,2016
Highland Warriors,58,2003
Alekhine's Gun,40,2016
Obscuritas,63,2016
Nelly Cootalot: The Fowl Fleet,81,2016
Zombasite,66,2016
Samorost 3,80,2016
Hyper Light Drifter,84,2016
The Minims,73,2016
Anna's Quest,74,2015
Good Robot,67,2016
DARIUSBURST Chronicle Saviours - Space Harrier,80,2016
DARIUSBURST Chronicle Saviours - Fantasy Zone,80,2016
DARIUSBURST Chronicle Saviours - Galaxy Force II,80,2016
Code of Princess,53,2016
LOUD on Planet X,72,2016
Corpse Party,71,2016
Cornerstone: The Song of Tyrim,58,2016
Wailing Heights,70,2016
Ori and the Blind Forest: Definitive Edition,88,2016
Offworld Trading Company,78,2016
Back in 1995,52,2016
N.E.R.O.: Nothing Ever Remains Obscure,59,2016
Kathy Rain,77,2016
Fragments of Him,69,2016
Battleborn,69,2016
TransOcean 2: Rivals,69,2016
Goliath,57,2016
Homefront®: The Revolution,54,2016
Salt and Sanctuary,84,2016
Overfall,71,2016
Duskers,83,2016
OmniBus,55,2016
Planar Conquest,53,2016
Turmoil,73,2016
Sherlock Holmes: The Devil's Daughter,65,2016
Trials of the Blood Dragon,54,2016
BLACKHOLE: Challenge Vault,82,2016
WildStar: Captain's Pack,82,2016
WildStar: Cute & Cuddly Pack,82,2016
Furi,76,2016
The Lion's Song: Episode 1 - Silence,78,2016
Fossil Echo,61,2016
VIDEOBALL,82,2016
Muv-Luv,76,2016
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,79,2016
Ian's Eyes,36,2016
Kelvin and the Infamous Machine,79,2016
DreamBreak,46,2016
Journey to the Center of the Earth,65,2003
8DAYS - PEACE IS OUR BUSINESS,64,2016
Starbound,81,2016
Human: Fall Flat,70,2016
Lovely Planet Arcade,78,2016
Headlander,74,2016
Little King's Story,62,2016
Road to Ballhalla,75,2016
The Silver Case,67,2016
Ray Gigant,55,2016
Reigns,77,2016
Grow Up,71,2016
F1 2016,86,2016
Worms W.M.D,79,2016
Deus Ex: Mankind Divided,83,2016
"Gabriel Knight® 3: Blood of the Sacred, Blood of the Damned",80,1999
Caesar™ IV,74,2006
Hue,79,2016
The Turing Test,74,2016
Talent Not Included,73,2016
The Final Station,76,2016
The Warlock of Firetop Mountain,70,2016
Halcyon 6: Starbase Commander,71,2016
The Bunker,57,2016
Wheels of Aurelia,63,2016
Seraph,80,2016
Zenith,57,2016
NBA 2K17,90,2016
Fractured Space,79,2016
Klang,71,2016
Lichtspeer,72,2016
Clustertruck,76,2016
Mantis Burn Racing®,71,2016
GoNNER,81,2016
Crazy Machines 3,71,2016
Orwell: Keeping an Eye On You,77,2016
Sid Meier’s Civilization® VI,88,2016
Farming Simulator 17,69,2016
Slayaway Camp,83,2016
Oh...Sir!! The Insult Simulator,64,2016
The Elder Scrolls V: Skyrim Special Edition,74,2016
Football Manager 2017,80,2016
Beholder,75,2016
Yesterday Origins,74,2016
Silence,75,2016
Candle,80,2016
Don't open the doors!,68,2016
ICEY,84,2016
Killing Floor 2,75,2016
Cities: Skylines - Natural Disasters,80,2016
The Dwarves,61,2016
Steep™,72,2016
Dungeon Souls,67,2016
Her Majesty's SPIFFING,60,2016
Hearts of Iron IV: Together for Victory,71,2016
Milkmaid of the Milky Way,74,2017
Conquest: Frontier Wars,80,2001
Stars in Shadow,75,2017
SpiritSphere,64,2017
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,83,2017
Memoranda,58,2017
Deadly Dozen,56,2001
Aliens Go Home Run,84,2017
Atelier Sophie: The Alchemist of the Mysterious Book,73,2017
Take On Mars,62,2017
FOR HONOR™,76,2017
BOOR,71,2017
Hidden Folks,78,2017
Night in the Woods,88,2017
Anarchy Online,72,2001
Hollow Knight,86,2017
Downward,77,2017
DESYNC,69,2017
Loot Rascals,71,2017
Dead Rising 4,74,2017
Toukiden 2,73,2017
Monster Slayers,86,2017
Quern - Undying Thoughts (Original Soundtrack),83,2017
Mantis Burn Racing® - Elite Class,71,2017
Mantis Burn Racing® - Snowbound Pack,71,2017
Thimbleweed Park™,84,2017
LEGO City Undercover,80,2017
Slime-san,78,2017
The Sexy Brutale,83,2017
Bayonetta,90,2017
Yooka-Laylee,73,2017
Snow Moto Racing Freedom,50,2017
Cosmic Star Heroine,77,2017
Voodoo Vince: Remastered,63,2017
Marvel's Guardians of the Galaxy: The Telltale Series,78,2017
Full Throttle Remastered,77,2017
Call to Power II,72,2000
Vampire: The Masquerade - Redemption,74,2000
Forts,74,2017
Little Nightmares,81,2017
Beachhead 2000,46,2000
Dawn of Andromeda,70,2017
World to the West,75,2017
Rakuen,84,2017
Empathy: Path of Whispers,57,2017
Bounty Train,66,2017
Bokida - Heartfelt Reunion,75,2017
Mages of Mystralia,74,2017
Portal Knights,72,2017
The Infectious Madness of Doctor Dekker,78,2017
Dynasty Feud,68,2017
Starpoint Gemini Warlords,74,2017
Black Desert Online,73,2017
Danger Zone,64,2017
Rising Storm 2: Vietnam,81,2017
The Long Journey Home,68,2017
Formula Fusion,58,2017
TEKKEN 7,82,2017
Blitzkrieg 3,68,2017
Monolith,83,2017
Pro Cycling Manager 2017,71,2017
Darkest Dungeon®: The Crimson Court,82,2017
Nex Machina,84,2017
GET EVEN,75,2017
BULLET SOUL / バレットソウル - 弾魂 - Original Soundtrack,76,2017
Antihero,81,2017
Lode Runner Legacy,76,2017
Serial Cleaner,64,2017
Yonder: The Cloud Catcher Chronicles,70,2017
Dream Daddy: A Dad Dating Simulator,72,2017
Super Cloudbuilt,76,2017
Pyre,82,2017
Solstice Chronicles: MIA,68,2017
BULLET SOUL INFINITE BURST - Original Soundtrack,76,2017
Secret World Legends,76,2017
Aztez,81,2017
Slime Rancher,81,2017
The Legend of Heroes: Trails of Cold Steel,80,2017
The Shrouded Isle,69,2017
Cat Quest,78,2017
Fictorum,64,2017
West of Loathing,86,2017
Sudden Strike 4,70,2017
>observer_,78,2017
Nidhogg 2,80,2017
XCOM 2: War of the Chosen - Propaganda Center,88,2017
XCOM 2: War of the Chosen,88,2017
ARK: Survival Evolved,70,2017
Ys SEVEN,80,2017
Songbringer,67,2017
Fall of Light,69,2017
PRO EVOLUTION SOCCER 2018,81,2017
Oriental Empires,74,2017
Mantis Burn Racing® - Battle Cars,71,2017
Dishonored®: Death of the Outsider™,80,2017
ATOMEGA,65,2017
ECHO,72,2017
Marvel vs. Capcom: Infinite,69,2017
Auto Age: Standoff,59,2017
Heat Signature,79,2017
Figment,77,2017
BLUE REFLECTION / BLUE REFLECTION　幻に舞う少女の剣,61,2017
RUINER,75,2017
Vaporum,78,2017
JYDGE,81,2017
A Hat in Time,79,2017
Mushroom Wars 2,76,2017
Deadbeat Heroes,66,2017
Star Control: Kessari Quadrant,89,1996
Bomber Crew,75,2017
Hide and Shriek,68,2016
Attentat 1942,75,2017
Sonic Forces,58,2017
Battlerite,85,2017
Reigns: Her Majesty,81,2017
SpellForce 3,74,2017
Gorogoa,83,2017
EMERGENCY 3,58,2005
Bridge Constructor Portal,78,2017
Hidden & Dangerous 2: Courage Under Fire,75,2003
Hidden & Dangerous: Action Pack,74,2000
Army Men RTS,67,2002
Army Men II,67,1999
Raiders of the Broken Planet - Ultimate Edition,54,2017
Purrfect Date - Visual Novel/Dating Simulator,76,2017
Finding Paradise,82,2017
No Escape,63,2017
OKAMI HD / 大神 絶景版,93,2017
Hello Neighbor,40,2017
Breakneck,76,2017
Wolfenstein II: The New Colossus,86,2017
Battle Chef Brigade,80,2017
HYAKKI CASTLE,65,2017
World of Warships,81,2017
Syberia 3,51,2017
Football Manager 2018,82,2017
Hand of Fate 2,80,2017
.hack//G.U. Last Recode,69,2017
Zwei: The Ilvard Insurrection,80,2017
Wolfenstein II: The New Colossus,86,2017
Freaky Awesome,54,2017
WWE 2K18,66,2017
Dungeons 3,75,2017
The Evil Within 2,81,2017
Field of Glory II,84,2017
Inmates,46,2017
Ogre,66,2017
EMPYRE: Lords of the Sea Gates,56,2017
Battle Chasers: Nightwar,79,2017
Mutant Football League,75,2017
Microsoft Allegiance,86,2017
Cuphead,88,2017
Total War: WARHAMMER II,86,2017
Hob,77,2017
RAID: World War II,53,2017
Pylon: Rogue,50,2017
Raiders of the Broken Planet - Eternal Soldier Campaign,54,2017
SteamWorld Dig 2,85,2017
The Journey Down: Chapter Three,78,2017
Stellaris: Synthetic Dawn Story Pack,83,2017
Another Lost Phone: Laura's Story,73,2017
CHASER,66,2017
Super Hydorah,82,2017
NBA 2K18,87,2017
Divinity: Original Sin 2,93,2017
Tooth and Tail,80,2017
Tokyo Dark,70,2017
Beat The Game,55,2017
WWII Online,73,2001
Darkestville Castle,68,2017
Last Day of June,75,2017
Battlestar Galactica Deadlock,77,2017
Life is Strange: Before the Storm,79,2017
Absolver,75,2017
Sonic Mania,84,2017
F1™ 2017,89,2017
The Escapists 2,74,2017
Subsurface Circular,83,2017
Moero Chronicle | 限界凸記 モエロクロニクル | 極限凸記　萌萌編年史,64,2017
Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),73,2017
LawBreakers,76,2017
Hellblade: Senua's Sacrifice,83,2017
Tacoma,76,2017
Sundered,74,2017
Immortal Planet,65,2017
Aven Colony,65,2017
Dreamfall Chapters,71,2017
Behold the Kickmen,58,2017
Aporia: Beyond The Valley,71,2017
Gigantic,76,2017
Kingsway,80,2017
Children of Zodiarcs,73,2017
The End Is Nigh,84,2017
Black The Fall,72,2017
Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,69,2017
No70: Eye of Basir,52,2017
CRYPTARK,80,2017
FINAL FANTASY XIV: Stormblood,87,2017
DiRT 4,78,2017
Randall,48,2017
Conarium,73,2017
Lydia,78,2017
AereA,53,2017
Rezrog,70,2017
Tokyo 42,70,2017
Hover,69,2017
Emily is Away Too,81,2017
RiME,78,2017
Friday the 13th: The Game,61,2017
Vanquish,78,2017
Steel Division: Normandy 44,83,2017
Impact Winter,62,2017
The Fidelio Incident,69,2017
Old Man's Journey,77,2017
Regalia: Of Men and Monarchs,73,2017
The Surge,72,2017
Plasma Puncher,69,2017
OVIVO,71,2017
Block'hood,77,2017
NBA Playgrounds,67,2017
The Legend of Heroes: Trails in the Sky the 3rd,83,2017
Expeditions: Viking,74,2017
Immortal Redneck,70,2017
What Remains of Edith Finch,89,2017
Everything,78,2017
Orcs Must Die! Unchained,87,2017
Flinthook,80,2017
Shiness: The Lightning Kingdom,68,2017
Shogo: Mobile Armor Division,88,1998
Bulletstorm: Full Clip Edition,76,2017
The Franz Kafka Videogame,65,2017
BULLET SOUL / バレットソウル - 弾魂 -,76,2017
Blackwood Crossing,70,2017
FlatOut 4: Total Insanity,52,2017
The Great Whale Road,61,2017
Miniature Garden,66,2017
Rain World,66,2017
Fallout Shelter,63,2017
Battle Brothers,80,2017
Has-Been Heroes,63,2017
"Mafia III: Faster, Baby!",62,2017
Bush Hockey League,48,2017
Snake Pass,71,2017
Out of the Park Baseball 18,86,2017
The Crow's Eye,65,2017
Kona,73,2017
NieR:Automata™,84,2017
The Keep,61,2017
Dark Train,76,2016
Future Unfolding,75,2017
Gas Guzzlers: Combat Carnage,58,2012
2Dark,68,2017
Blossom Tales: The Sleeping King,78,2017
Faeria,80,2017
Stories Untold,81,2017
Torment: Tides of Numenera,81,2016
Shadows of Adam,78,2017
Herald: An Interactive Period Drama - Book I & II,77,2017
DYSTORIA,72,2017
🔴 Circles,76,2017
NeverEnd,44,2017
The Wardrobe,72,2017
We Are Chicago,49,2017
Alone With You,75,2017
Brut@l,66,2017
Leaving Lyndow,74,2017
Bleed 2,83,2017
Arelite Core,59,2017
WWE 2K17,61,2017
Phoning Home,61,2017
Splasher,79,2017
Nights of Azure,64,2017
Youtubers Life,63,2016
Diluvion,66,2017
Alwa's Awakening,71,2017
Elite Warriors: Vietnam,46,2006
Angels with Scaly Wings,67,2017
Disgaea 2 PC / 魔界戦記ディスガイア2 PC,81,2017
Double Dragon IV,50,2017
Linelight,90,2017
A Normal Lost Phone,71,2017
Nefarious,67,2017
Urban Empire,62,2017
"Warhammer 40,000: Sanctus Reach",68,2017
Tales of Berseria™,80,2017
Ladykiller in a Bind,73,2016
Nancy Drew®: The Secret of Shadow Ranch,68,2004
HoPiKo,82,2017
99Vidas,69,2016
Shantae: Half-Genie Hero,76,2016
Stereo Aereo,58,2016
The Little Acre,62,2016
OneShot,81,2016
Nitroplus Blasterz: Heroines Infinite Duel,63,2016
Line of Sight: Vietnam,68,2003
Maize,65,2016
Quern - Undying Thoughts,83,2016
Planet Coaster,84,2016
RollerCoaster Tycoon World™,43,2016
Super Rad Raygun,64,2016
ENIGMA:,56,2016
Dofus,72,2016
Mekazoo,80,2016
Dishonored 2,86,2016
Ashes of the Singularity: Escalation,81,2016
Motorsport Manager,81,2016
Small Radios Big Televisions,67,2016
Pirate Pop Plus,65,2016
Call of Duty®: Infinite Warfare,73,2016
Xanadu Next,78,2016
Creepy Castle,82,2016
Franchise Hockey Manager 3,64,2016
Owlboy,88,2016
Rusty Lake: Roots,75,2016
Endless Legend™ - Tempest,82,2016
Shadow Warrior 2,78,2016
Duke Nukem 3D: 20th Anniversary World Tour,72,2016
Ride 2,67,2016
WRC 6 FIA World Rally Championship,68,2016
Five Nights at Freddy's: Sister Location,62,2016
Mafia III,62,2016
Atlas Reactor,81,2016
Aragami,71,2016
Shu,85,2016
Masquerada: Songs and Shadows,64,2016
Wuppo,78,2016
The Metronomicon: Slay The Dance Floor,79,2016
Hybrid Wars,54,2016
Burly Men at Sea,82,2016
Rogue Wizards,67,2016
Toy Odyssey: The Lost and Found,66,2016
Diaries of a Spaceport Janitor,69,2016
Marooners,70,2016
Event[0],75,2016
Ember,70,2016
STEINS;GATE,87,2016
Project Highrise,73,2016
How to Survive 2,69,2016
Unbox: Newbie's Adventure,68,2016
Mother Russia Bleeds,70,2016
Tadpole Treble,90,2016
The Curious Expedition,74,2016
Seasons after Fall,75,2016
Tahira: Echoes of the Astral Empire,66,2016
RunGunJumpGun,82,2016
Shiny,51,2016
Livelock,73,2016
N++ (NPLUSPLUS),90,2016
Master of Orion,74,2016
Master of Orion 3,64,2003
Virginia,74,2016
Metrico+,66,2016
Duelyst,82,2016
Guards,49,2016
Okhlos: Omega,69,2016
Champions of Anteria™,67,2016
No Man's Sky,61,2016
Tricky Towers,80,2016
ABZU,83,2016
Near Death,70,2016
Overcooked,81,2016
She Remembered Caterpillars,82,2017
Quadrilateral Cowboy,81,2016
Mainlining,73,2017
MilitAnt,41,2016
Tumblestone,91,2016
Poly Bridge,73,2016
The Real Texas,74,2016
Anarcute,79,2016
Arma 3 Apex,74,2016
Song of the Deep,71,2016
Crush Your Enemies,63,2016
The Darkside Detective,75,2017
Mighty No. 9,52,2016
VA-11 Hall-A: Cyberpunk Bartender Action,77,2016
Space Run Galaxy,75,2016
Pro Cycling Manager 2016,64,2016
Valentino Rossi The Game,72,2016
On Rusty Trails,77,2016
WildStar,82,2014
WildStar: Adventure Pack,82,2016
WildStar: Hero Pack,82,2016
WildStar: Legend Pack (NA),82,2016
SteamWorld Heist,81,2016
Last Days of Old Earth,66,2016
WASTED,68,2016
Hearts of Iron IV,83,2016
Super Duper Party Pooper,40,2016
Hunter's Legacy,58,2016
Hard Reset Redux,73,2016
Dangerous Golf,54,2016
Brigador: Up-Armored Edition,70,2016
SENRAN KAGURA SHINOVI VERSUS,70,2016
TurnOn,67,2016
Chronicle: RuneScape Legends,76,2016
Excubitor,69,2016
Blacksea Odyssey,74,2016
Total War: WARHAMMER,86,2016
Lumo,77,2016
POSTAL Redux,54,2016
Koihime Enbu,68,2016
Sengoku Jidai: Shadow of the Shogun,80,2016
Demetrios - The BIG Cynical Adventure,72,2016
DOOM,85,2016
Ryzom,64,2016
Scrap Garden,58,2016
Dead Effect 2,53,2016
Stellaris,78,2016
Neon Chrome,74,2016
March of the Living,63,2016
Megamagic: Wizards of the Neon Age,67,2016
Don't Starve Together,83,2016
Battlefleet Gothic: Armada,77,2016
Rogue Stormers,68,2016
Stephen's Sausage Roll,90,2016
Battlezone 98 Redux,75,2016
Danganronpa 2: Goodbye Despair,83,2016
HEX: Shards of Fate,87,2016
IS Defense,50,2016
The Banner Saga 2,82,2016
FINAL FANTASY IX,84,2016
Goetia,79,2016
Everybody's Gone to the Rapture,76,2016
Aurion: Legacy of the Kori-Odan,69,2016
DARK SOULS™ III,89,2016
Stories: The Path of Destinies,74,2016
Mushroom Wars,80,2016
Kill to Collect,57,2016
Enter the Gungeon,84,2016
1979 Revolution: Black Friday,80,2016
Baldur's Gate: Siege of Dragonspear,77,2016
Leap of Fate,80,2016
Epistory - Typing Chronicles,74,2016
Magical Eyes - Red is for Anguish,77,2016
The Last Door: Season 2 - Collector's Edition,85,2016
Slain: Back from Hell,74,2016
The Descendant: Rest of Season,57,2016
The Descendant,59,2016
Day of the Tentacle Remastered,86,2016
Polaris Sector,76,2016
Out of the Park Baseball 17,92,2016
Music Pack - Music for Code EP,85,2016
Moon Hunters,62,2016
WWE 2K16,74,2016
Deathsmiles,78,2016
"Gremlins, Inc.",75,2016
Ares Omega,49,2016
Into the Stars,61,2016
E.T. Armies,54,2016
Stardew Valley,89,2016
Far Cry® Primal,74,2016
Shardlight,75,2016
Deponia Doomsday,76,2016
Blood Alloy: Reborn,48,2016
Soul Axiom,57,2016
Grim Dawn,83,2016
Heaven's Hope - Special Edition,74,2016
Ninja Senki DX,72,2016
Obliteracers,78,2016
Devil Daggers,83,2016
Cities: Skylines - Snowfall,72,2016
"Codename: Panzers, Phase One",81,2004
"Codename: Panzers, Phase Two",80,2005
ARSLAN: THE WARRIORS OF LEGEND,57,2016
American Truck Simulator,76,2016
Firewatch,81,2016
XCOM® 2,88,2016
Cobalt,69,2016
Rusty Lake Hotel,65,2016
CALENDULA,67,2016
DarkMaus,83,2016
Nemesis of the Roman Empire,74,2004
The Order of the Thorne - The King's Challenge,71,2016
Crashlands,78,2016
Dinocide,51,2016
Move or Die,80,2016
The Westport Independent,63,2016
Warlords Battlecry III,73,2004
Between Me and The Night,62,2016
Slybots: Frantic Zone,65,2016
Gemini: Heroes Reborn,54,2016
Shooting Stars!,59,2016
The Aquatic Adventure of the Last Human,76,2016
The Bug Butcher,81,2016
The Deadly Tower of Monsters,73,2016
Darkest Dungeon®,84,2016
Echoes of Aetheria,77,2016
Falcon 4.0,85,1998
Anomaly 1729,49,2015
Pony Island,86,2016
Sora,74,2016
Dragon Saga,65,2010
SimplePlanes,67,2015
Total Annihilation,86,1997
Aviary Attorney,77,2015
UnderRail,72,2015
Swords and Sorcery - Underworld - Definitive Edition,66,2015
Devilian,63,2015
Red Game Without A Great Name,55,2015
Zombie Vikings,74,2015
Nuclear Throne,88,2015
HELLDIVERS™,83,2015
Lords of the Realm II,77,1996
Lords of the Realm III,65,2004
Don't Starve: Shipwrecked,77,2015
CLANNAD,83,2015
12 is Better Than 6,74,2015
Thea: The Awakening,73,2015
Hard West,73,2015
Assassin's Creed® Syndicate,74,2015
Mushihimesama,86,2015
Impossible Creatures Steam Edition,72,2003
Fallout 4,84,2015
Mini Metro,77,2015
Clandestine,69,2015
Conflicks - Revolutionary Space Battles,63,2015
PONCHO,62,2015
Fallout: A Post Nuclear Role Playing Game,89,1997
Cibele,71,2015
Albert and Otto,69,2015
GALAK-Z,78,2015
Pathologic Classic HD,76,2015
The Legend of Heroes: Trails in the Sky SC,80,2015
Warhammer: End Times - Vermintide,79,2015
Chaos Reborn,85,2015
System Shock: Enhanced Edition,85,2015
DISTRAINT: Deluxe Edition,76,2015
Pulse,57,2015
The Coma: Cutting Class,69,2015
Ceres,74,2015
Rogue State,66,2015
Human Resource Machine,78,2015
Planetbase,70,2015
The Age of Decadence,81,2015
Animal Gods,50,2015
Bedlam,54,2015
Beyond Sol,83,2015
WRC 5 FIA World Rally Championship,65,2015
Sid Meier's Civilization: Beyond Earth - Rising Tide,79,2015
SKYHILL,63,2015
Ninja Pizza Girl,82,2015
Lost Horizon 2,58,2015
Pixel Galaxy,68,2015
The Escapists: The Walking Dead,66,2015
Grand Ages: Medieval,63,2015
Concrete Jungle,76,2015
A Fistful of Gun,60,2015
Journey To The Center Of The Earth,65,2015
Stairs,65,2015
80 Days,84,2015
Else Heart.Break(),79,2015
Penarium,80,2015
Blood Bowl 2,76,2015
Extreme Exorcism,75,2015
Skyshine's BEDLAM,67,2015
Lovers in a Dangerous Spacetime,80,2015
Cross of the Dutchman,59,2015
"Warhammer 40,000: Regicide",72,2015
Circa Infinity,80,2015
Act of Aggression - Reboot Edition,71,2015
Company of Heroes 2 - The British Forces,80,2015
Lumini,69,2015
Bowl Bound College Football,80,2015
Rampage Knights,80,2015
Zoo Empire,59,2004
Wars and Warriors: Joan of Arc,60,2004
Marine Park Empire,58,2004
Armello,75,2015
STASIS,79,2015
Satellite Reign,75,2015
Grandia® II Anniversary Edition,80,2015
Mega Man Legacy Collection / ロックマン クラシックス コレクション,85,2015
Nova-111,68,2015
Party Hard,64,2015
Crookz - The Big Heist,74,2015
Shadowrun: Hong Kong - Extended Edition,81,2015
The Flock,36,2015
In Between,68,2015
Volume,80,2015
Beyond Eyes,60,2015
Dream,59,2015
PixelJunk™ Nom Nom Galaxy,68,2015
Legend of Kay Anniversary,64,2015
The Swindle,70,2015
Galacide,76,2015
Kyn,58,2015
Blues and Bullets,73,2015
Way of the Samurai 4,72,2015
Zenzizenzic,85,2015
The Talos Principle: Road To Gehenna,82,2015
Niko: Through The Dream,74,2015
Guild of Dungeoneering,72,2015
AR-K: The Great Escape,78,2015
Luckslinger,76,2015
Legions of Steel,64,2015
Gunpowder,76,2015
The Magic Circle,79,2015
The Red Solstice,74,2015
Traverser,61,2015
Ground Control Anthology,86,2000
Ground Control II: Operation Exodus,80,2004
RONIN,70,2015
Divide By Sheep,83,2015
Legends of Eisenwald,71,2015
Vector Thrust,57,2015
Lethis - Path of Progress,65,2015
Mighty Switch Force! Hyper Drive Edition,85,2015
Her Story,86,2015
Kholat,64,2015
Frozen Cortex - Ultimate Tier DLC,79,2015
Frozen Cortex - Mega Tier DLC,79,2015
Frozen Cortex - Soundtrack DLC,79,2015
Sylvio,60,2015
Adventures of Pip,72,2015
Star Hammer: The Vanguard Prophecy,69,2015
Rebuild 3: Gangs of Deadsville,75,2015
The Next Penelope,82,2015
Serpent in the Staglands,75,2015
Subject 13,59,2015
Phantom Breaker: Battle Grounds - Original Soundtrack,64,2015
Magicka 2,69,2015
Audiosurf 2,76,2015
Magnetic: Cage Closed,61,2015
MISSING: An Interactive Thriller - Episode One,63,2015
Sunset,66,2015
Interloper,77,2015
NOT A HERO,75,2015
Axiom Verge,80,2015
"Invisible, Inc.",82,2015
LOST ORBIT,72,2015
Toren,57,2015
Lemma,73,2015
Last Word,67,2015
Sym,61,2015
Tony Tough and the Night of Roasted Moths,68,1997
Independence War® 2: Edge of Chaos,83,2001
Wolfenstein: The Old Blood,76,2015
Black Mesa,86,2015
Space Colony: Steam Edition,74,2015
Block N Load,72,2015
The Weaponographist,58,2015
"Guns, Gore & Cannoli",74,2015
Order of Battle: World War II,81,2015
Chroma Squad,75,2015
Kerbal Space Program,88,2015
Son of Nor,54,2015
Verdun,70,2015
Perils of Man,61,2015
Uncanny Valley,67,2015
MX vs. ATV Unleashed,71,2006
Grand Theft Auto V,96,2015
Mortal Kombat X,76,2015
Age of Wonders III - Eternal Lords Expansion,80,2015
Fire,64,2015
StarDrive 2,70,2015
I am Bread,60,2015
VoidExpanse,59,2015
Titan Souls,74,2015
theHunter: Primal,49,2015
Pillars of Eternity,89,2015
Worlds of Magic,52,2015
Dyscourse,71,2015
Three Fourths Home: Extended Edition,77,2015
Phantom Breaker: Battle Grounds - Kurisu Makise + Level 99 Pack,64,2015
LA Cops,45,2015
Hektor,55,2015
Assassin’s Creed® Rogue,74,2015
Cities: Skylines,85,2015
Parallax,68,2015
Mushroom Men: Truffle Trouble,55,2015
Ori and the Blind Forest,88,2015
Tormentum - Dark Sorrow,72,2015
Vietnam ‘65,81,2015
Steel Armor: Blaze of War,70,2015
Zombie Army Trilogy,72,2015
Five Nights at Freddy's 3,68,2015
Pneuma: Breath of Life,63,2015
Oblitus,69,2015
The Deer God,59,2015
BLACKHOLE,82,2015
A Druid's Duel,70,2015
Disney•Pixar Cars,73,2006
There Came an Echo,58,2015
Frozen Cortex,79,2015
The Book of Unwritten Tales 2,80,2015
Decay: The Mare,60,2015
The Escapists,71,2015
Total War: ATTILA,80,2015
Evolve Stage 2,77,2015
Harold,70,2015
Deathtrap,77,2015
Castle In The Darkness,76,2015
Cities XXL,47,2015
Supreme League of Patriots,56,2015
Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,72,2015
Zombeer,32,2015
Heroes® of Might & Magic® III - HD Edition,65,2015
Gravity Ghost,75,2015
Dying Light,87,2015
Grim Fandango Remastered,84,2015
Roche Fusion,85,2015
Phantom Breaker: Battle Grounds,64,2015
Saints Row: Gat out of Hell,66,2015
Blackguards 2,74,2015
Citizens of Earth,66,2015
"War, the Game",65,2015
Warhammer Quest,55,2015
Warhammer Quest,55,2015
Roundabout,75,2014
The Talos Principle,85,2014
Vertical Drop Heroes HD Demo,70,2014
Redux: Dark Matters,61,2014
Sinking Island,68,2007
LARA CROFT AND THE TEMPLE OF OSIRIS™,73,2014
Dead State: Reanimated,70,2014
Fight The Dragon,76,2014
The Crew™,71,2014
Lumino City,70,2014
The Old City: Leviathan,62,2014
Akaneiro: Demon Hunters,53,2014
"Warhammer 40,000: Armageddon",68,2014
Rollers of the Realm,68,2014
Frozen Synapse Prime,83,2014
This War of Mine,83,2014
Lords of Xulima,71,2014
Basketball Pro Management 2015,69,2014
Shadows: Heretic Kingdoms,74,2014
The Marvellous Miss Take,69,2014
FINAL FANTASY XIV Online Free Trial,83,2013
Five Nights at Freddy's 2,62,2014
FOTONICA,71,2014
Icewind Dale: Enhanced Edition,80,2014
The Detail,77,2014
Lords Of The Fallen™,73,2014
B-17 Flying Fortress: The Mighty 8th,82,2000
Majestic Nights,32,2014
Buzz Aldrin's Space Program Manager,62,2014
Call of Duty®: Advanced Warfare - Gold Edition,78,2014
Depth,65,2014
Dungeon of the Endless™,79,2014
Kromaia,68,2014
Sid Meier's Civilization®: Beyond Earth™,81,2014
Ziggurat,75,2014
Door Kickers,83,2014
Poltergeist: A Pixelated Horror,70,2014
Wings! Remastered Edition,61,2014
DeadCore,78,2014
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,74,2014
Expansion - Crusader Kings II: Charlemagne,80,2014
Borderlands: The Pre-Sequel,75,2014
Alien: Isolation,81,2014
Disney•Pixar Toy Story 3: The Video Game,73,2011
TRI: Of Friendship and Madness,74,2014
A Golden Wake,68,2014
